岗位ID,岗位名称,公司,城市,一级簇号,一级簇名,二级簇名
J0073,技术开发高级工程师(智慧运维) (MJ004992),厦门海辰储能科技股份有限公司,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0074,27届安卓开发工程师 (MJ000136),厦门睿云联创新科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0075,安卓应用开发工程师,厦门市帕兰提尔科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0076,嵌入式软件工程师（网关）,厦门立林智能科技有限公司,厦门,5,嵌入式/硬件（rtos、32位单片机）,—
J0077,软件测试（银行-国结）,北京捷科智诚科技有限公司上海分公司,厦门,3,软件测试（信号测试、安全测试）,—
J0078,IT总监/副总监（跨境电商）,福建拉森科技有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0079,golang开发工程师,厦门盒群信息技术有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0080,AI平台项目研发工程师,厦门高帝集团有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,算法/AI 应用（tensorflow、vit）
J0081,金蝶财务系统运维、开发工程师,厦门光莆电子股份有限公司,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0082,实施工程师-五险一金全额,诚迈科技股份有限公司,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0083,ate测试开发工程师,索克曼能源系统(厦门)有限公司,厦门,3,软件测试（信号测试、安全测试）,—
J0084,总行信息技术部——技术架构岗/系统分析岗（SA）,厦门银行股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0085,实施工程师（选矿MES）,浪潮集团,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0086,运维工程师,厦门瀚海潮升科技有限公司,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0087,Java开发工程师,厦门至恒融兴信息技术股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0088,测试工程师,厦门七个水果科技有限公司,厦门,3,软件测试（信号测试、安全测试）,—
J0089,软件技术专业骨干教师,厦门兴才职业技术学院,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0090,数仓开发工程师,厦门争新科技有限公司,厦门,2,数据分析/BI（数仓开发、kettle）,—
J0091,Android系统工程师,厦门亿联网络技术股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0092,IT技术经理,雅米士(厦门)航空食品有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0093,IT工程师,厦门林巴赫航空发动机有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0094,嵌入式软件应用开发工程师(J10146),厦门雅迅智联科技股份有限公司,厦门,5,嵌入式/硬件（rtos、32位单片机）,—
J0095,测试工程师（厦门）(010158),广州南天电脑系统有限公司,厦门,3,软件测试（信号测试、安全测试）,—
J0096,嵌入式软件工程师(RTOS),厦门四五零科技有限公司,厦门,5,嵌入式/硬件（rtos、32位单片机）,—
J0097,C++后台开发工程师 (MJ000149),厦门睿云联创新科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0098,产品系统工程师-产品工程组 (MJ004863),厦门海辰储能科技股份有限公司,厦门,6,产品/项目管理（国内市场、需求分析）,—
J0099,全栈工程师,软通动力信息技术(集团)股份有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0100,对日开发初级技术员到项目经理的全职位招聘,株式会社ProfaceSystems,厦门,6,产品/项目管理（国内市场、需求分析）,—
J0101,运维开发工程师,厦门市威特计算机信息系统工程有限公司,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0102,项目总监（政府业务软件方向）,时代凌宇,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0103,AI 交付实施工程师（飞书 / 豆包 FDE 方向）,厦门龙商网络技术服务有限公司,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0104,IT系统工程师（生产/财务/综合）-外企-英语,达昊(厦门)制造有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0105,C++开发工程师（软二+周末双休+五险一金）,厦门凤凰创壹软件有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0106,AI数字化应用专员,厦门旭盈物流股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,硬件/仪器/自动化（组态软件、scratch）
J0107,mes工程师,宸展光电(厦门)股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,硬件/仪器/自动化（组态软件、scratch）
J0108,数仓开发-五险一金全额,诚迈科技股份有限公司,厦门,2,数据分析/BI（数仓开发、kettle）,—
J0109,.net开发实习生,用友网络科技股份有限公司厦门分公司,厦门,4,后端开发（hibernate、linux开发）,—
J0110,实施工程师（采矿MES）,浪潮集团,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0111,软件总监（有工控软件开发经验）,厦门奥普拓自控科技有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0112,Android系统工程师,陶朗环保技术(厦门)有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0113,.net开发工程师（资深）,厦门思泰克智能科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0114,软件售后工程师,厦门瀚海潮升科技有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0115,系统架构师,福建众创车联网络科技有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0116,IT专员,厦门国贸资本集团有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0117,网络安全服务、Web渗透工程师,浩程信息,厦门,8,前端开发（web前端、erp项目）,—
J0118,人工智能技术专业骨干教师,厦门兴才职业技术学院,厦门,7,算法/人工智能（智能驾驶、传感器融合）,—
J0119,研发工程师,中俄数字经济研究中心(厦门市人工智能创新中心),厦门,0,制造业质量/检验（成本管理、抖音）,算法/AI 应用（tensorflow、vit）
J0120,研发运维经理,厦门快快网络科技有限公司,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0121,资深后端工程师（SaaS & 架构方向）,厦门北翱算法信息科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0122,安卓系统开发工程师,星宸科技,厦门,4,后端开发（hibernate、linux开发）,—
J0123,初中级C++后台开发工程师 (MJ000158),厦门睿云联创新科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0124,高级开发工程师,北京中兵数字科技集团有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0125,WCS开发工程师,厦门甚好软件信息技术有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0126,IT CIM 系统开发工程师,联芯集成电路制造(厦门)有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0127,JAVA【厦门】,厦门至恒融兴信息技术股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0128,技术经理,福建亿能电力科技股份有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0129,Linux软件工程师(4G/5G模组方向),厦门四五零科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0130,Net/C#高级后端工程师（Azure）,四川智服人力资源有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0131,研发交付总监,时代凌宇,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0132,实施工程师（选矿MES）,浪潮集团,厦门,1,运维/云与网络（分布式电站、空调工程）,—
J0133,c++高级软件工程师,厦门七个水果科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0134,资深软件工程师（团队管理）,达昊(厦门)制造有限公司,厦门,4,后端开发（hibernate、linux开发）,—
