口径,任务,实验,模型,特征,重要性
按简历,T1回归,②全特征+噪声标签,XGBoost,是否同城,0.18919
按简历,T1回归,②全特征+噪声标签,XGBoost,是否同省,0.02875
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位城市岗位数,0.0002
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位城市简历数,0.00016
按简历,T1回归,②全特征+噪声标签,XGBoost,简历期望薪资下限,0.00868
按简历,T1回归,②全特征+噪声标签,XGBoost,期望薪资面议,0.00488
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位薪资下限,0.00053
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位薪资上限,0.00149
按简历,T1回归,②全特征+噪声标签,XGBoost,薪资上限与期望下限比,0.00898
按简历,T1回归,②全特征+噪声标签,XGBoost,技术认证数,0.01076
按简历,T1回归,②全特征+噪声标签,XGBoost,通用证书数,0.00033
按简历,T1回归,②全特征+噪声标签,XGBoost,技术认证方向命中数,0.01369
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位大类,0.00018
按简历,T1回归,②全特征+噪声标签,XGBoost,期望岗位大类,0.00031
按简历,T1回归,②全特征+噪声标签,XGBoost,岗位大类一致,0.00038
按简历,T1回归,②全特征+噪声标签,XGBoost,今日回复数,0.00012
按简历,T1回归,②全特征+噪声标签,XGBoost,是否在线,0.0001
按简历,T1回归,②全特征+噪声标签,XGBoost,同公司岗位数,0.00013
按简历,T2分类,②全特征+噪声标签,随机森林,简历技能数,0.03677
按简历,T2分类,②全特征+噪声标签,随机森林,岗位技能要求数,0.01339
按简历,T2分类,②全特征+噪声标签,随机森林,技能命中数,0.05319
按简历,T2分类,②全特征+噪声标签,随机森林,技能精确命中数,0.00688
按简历,T2分类,②全特征+噪声标签,随机森林,岗位技能标签数,0.00468
按简历,T2分类,②全特征+噪声标签,随机森林,岗位名称与期望岗位相似度,0.00897
按简历,T2分类,②全特征+噪声标签,随机森林,描述与简历文本相似度,0.01575
按简历,T2分类,②全特征+噪声标签,随机森林,描述与技能特长相似度,0.05568
按简历,T2分类,②全特征+噪声标签,随机森林,专业命中岗位描述,0.01336
按简历,T2分类,②全特征+噪声标签,随机森林,简历工作年限,0.14712
按简历,T2分类,②全特征+噪声标签,随机森林,是否应届,0.09593
按简历,T2分类,②全特征+噪声标签,随机森林,岗位经验下限,0.0605
按简历,T2分类,②全特征+噪声标签,随机森林,岗位经验上限,0.05777
按简历,T2分类,②全特征+噪声标签,随机森林,岗位经验不限,0.00044
按简历,T2分类,②全特征+噪声标签,随机森林,岗位经验缺失,0.0438
按简历,T2分类,②全特征+噪声标签,随机森林,简历学历序数,0.01414
按简历,T2分类,②全特征+噪声标签,随机森林,岗位学历要求序数,0.02191
按简历,T2分类,②全特征+噪声标签,随机森林,距离km,0.07889
按简历,T2分类,②全特征+噪声标签,随机森林,是否同城,0.06144
按简历,T2分类,②全特征+噪声标签,随机森林,是否同省,0.03566
按简历,T2分类,②全特征+噪声标签,随机森林,岗位城市岗位数,0.00925
按简历,T2分类,②全特征+噪声标签,随机森林,岗位城市简历数,0.00559
按简历,T2分类,②全特征+噪声标签,随机森林,简历期望薪资下限,0.03261
按简历,T2分类,②全特征+噪声标签,随机森林,期望薪资面议,0.00363
按简历,T2分类,②全特征+噪声标签,随机森林,岗位薪资下限,0.01111
按简历,T2分类,②全特征+噪声标签,随机森林,岗位薪资上限,0.01467
按简历,T2分类,②全特征+噪声标签,随机森林,薪资上限与期望下限比,0.04283
按简历,T2分类,②全特征+噪声标签,随机森林,技术认证数,0.01033
按简历,T2分类,②全特征+噪声标签,随机森林,通用证书数,0.00607
按简历,T2分类,②全特征+噪声标签,随机森林,技术认证方向命中数,0.01065
按简历,T2分类,②全特征+噪声标签,随机森林,岗位大类,0.0051
按简历,T2分类,②全特征+噪声标签,随机森林,期望岗位大类,0.00731
按简历,T2分类,②全特征+噪声标签,随机森林,岗位大类一致,0.00265
按简历,T2分类,②全特征+噪声标签,随机森林,今日回复数,0.00431
按简历,T2分类,②全特征+噪声标签,随机森林,是否在线,0.00119
按简历,T2分类,②全特征+噪声标签,随机森林,同公司岗位数,0.00643
按简历,T2分类,②全特征+噪声标签,XGBoost,简历技能数,0.01286
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位技能要求数,0.00552
按简历,T2分类,②全特征+噪声标签,XGBoost,技能命中数,0.04245
按简历,T2分类,②全特征+噪声标签,XGBoost,技能精确命中数,0.0029
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位技能标签数,0.0027
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位名称与期望岗位相似度,0.00238
按简历,T2分类,②全特征+噪声标签,XGBoost,描述与简历文本相似度,0.00258
按简历,T2分类,②全特征+噪声标签,XGBoost,描述与技能特长相似度,0.01602
按简历,T2分类,②全特征+噪声标签,XGBoost,专业命中岗位描述,0.02604
按简历,T2分类,②全特征+噪声标签,XGBoost,简历工作年限,0.11884
按简历,T2分类,②全特征+噪声标签,XGBoost,是否应届,0.30015
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位经验下限,0.04424
按简历,T2分类,②全特征+噪声标签,XGBoost,岗位经验上限,0.03867
