被剔除的词,出现岗位数,剔除原因
会员体系搭建经验,1,行业/企业/平台等非技能标签
平台类产品,1,行业/企业/平台等非技能标签
环保行业研究,1,行业/企业/平台等非技能标签
教培行业,1,行业/企业/平台等非技能标签
下午茶,1,福利待遇类
风控体系制定,1,行业/企业/平台等非技能标签
工程机械行业风控,1,行业/企业/平台等非技能标签
纺织,1,行业/企业/平台等非技能标签
一次旅游,1,福利待遇类
旅游活动,1,福利待遇类
六险,1,福利待遇类
质量体系,1,行业/企业/平台等非技能标签
银行清算,1,行业/企业/平台等非技能标签
休闲食品,1,行业/企业/平台等非技能标签
卤味食品,1,行业/企业/平台等非技能标签
能源管理体系,1,行业/企业/平台等非技能标签
制造业管理,1,行业/企业/平台等非技能标签
AR/VR行业经验,1,行业/企业/平台等非技能标签
烘焙行业,1,行业/企业/平台等非技能标签
效益奖金,1,福利待遇类
员工生日福利,1,福利待遇类
快消品行业销售,1,行业/企业/平台等非技能标签
超纤皮革工艺,1,行业/企业/平台等非技能标签
化工产品全流程检验,1,行业/企业/平台等非技能标签
种子行业,1,行业/企业/平台等非技能标签
麦肯体系,1,行业/企业/平台等非技能标签
意外伤害保险,1,福利待遇类
化工设备维修,1,行业/企业/平台等非技能标签
农牧行业,1,行业/企业/平台等非技能标签
物流管理,1,行业/企业/平台等非技能标签
节假日加班费,1,福利待遇类
制造业数字化转型,1,行业/企业/平台等非技能标签
生日福利,1,福利待遇类
带薪学习,1,福利待遇类
质量体系维护,1,行业/企业/平台等非技能标签
专用设备质量检验,1,行业/企业/平台等非技能标签
ISO体系,1,行业/企业/平台等非技能标签
五金行业,1,行业/企业/平台等非技能标签
五金制造业,1,行业/企业/平台等非技能标签
职业健康体检,1,福利待遇类
卫材行业,1,行业/企业/平台等非技能标签
纸业行业,1,行业/企业/平台等非技能标签
卫生材料管理体系,1,行业/企业/平台等非技能标签
福利,1,福利待遇类
带薪休假,1,福利待遇类
服装商品企划,1,行业/企业/平台等非技能标签
交社保,1,福利待遇类
文体办公图书批发/零售/贸易,1,行业/企业/平台等非技能标签
媒体平台,1,行业/企业/平台等非技能标签
物流运输,1,行业/企业/平台等非技能标签
行业趋势研究,1,行业/企业/平台等非技能标签
食品行业采购,1,行业/企业/平台等非技能标签
电商行业招聘,1,行业/企业/平台等非技能标签
文体/玩具/礼品制造,1,行业/企业/平台等非技能标签
行业协会,1,行业/企业/平台等非技能标签
石油化工工程,1,行业/企业/平台等非技能标签
跨境物流,1,行业/企业/平台等非技能标签
银行机构,1,行业/企业/平台等非技能标签
有制造业,1,行业/企业/平台等非技能标签
供应链行业经验的优先,1,行业/企业/平台等非技能标签
不定期下午茶福利,1,福利待遇类
驻外补贴,1,福利待遇类
橡胶工艺,1,行业/企业/平台等非技能标签
橡胶模具,1,行业/企业/平台等非技能标签
快消行业,1,行业/企业/平台等非技能标签
奖金激励,1,福利待遇类
淘宝运营,1,行业/企业/平台等非技能标签
服装卖场,1,行业/企业/平台等非技能标签
新能源车,1,行业/企业/平台等非技能标签
化工装备,1,行业/企业/平台等非技能标签
